"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
States,Utah,Season 2023-24 ,1224,365,153,0,1,220,0,0,0
States,Vermont,Season 2023-24 ,443,197,116,13,1,43,0,0,0
States,Virginia,Season 2023-24 ,1332,156,80,7,1,47,0,0,0
States,Washington,Season 2023-24 ,1973,318,102,49,14,56,0,0,0
States,West Virginia,Season 2023-24 ,969,329,205,12,13,224,0,0,0
States,Wisconsin,Season 2023-24 ,3608,476,310,68,11,183,0,0,0
States,Wyoming,Season 2023-24 ,654,38,8,45,21,23,0,0,0
States,American Samoa,Season 2023-24 ,X,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2023-24 ,434,185,48,4,0,53,0,0,0
States,Virgin Islands,Season 2023-24 ,X,X,X,X,X,X,X,X,X
States,New York City,Season 2023-24 ,X,X,X,X,X,X,X,X,X
States,Alabama,Season 2024-25,277,13,77,9,1,0,0,0,0
States,Alaska,Season 2024-25,176,24,70,2,7,0,0,0,0
States,Arizona,Season 2024-25,314,10,31,3,1,1,0,0,2
States,Arkansas,Season 2024-25,903,127,99,240,0,1,0,0,0
States,California,Season 2024-25,8033,2238,2954,423,75,116,0,0,54
States,Colorado,Season 2024-25,783,41,120,506,9,0,0,0,0
States,Connecticut,Season 2024-25,1441,331,273,26,48,3,0,0,0
States,Delaware,Season 2024-25,857,110,213,18,7,1,0,0,1
States,District of Columbia,Season 2024-25,805,171,242,21,0,16,0,0,0
States,Florida,Season 2024-25,1122,251,501,36,5,1,0,0,0
States,Georgia,Season 2024-25,854,47,131,305,7,0,0,0,0
States,Hawaii,Season 2024-25,556,141,64,0,0,18,0,0,0
States,Idaho,Season 2024-25,705,270,274,93,1,2,0,0,0
States,Illinois,Season 2024-25,1595,131,82,136,1,3,0,0,0
States,Indiana,Season 2024-25,135,26,44,13,0,0,0,0,0
States,Iowa,Season 2024-25,712,397,231,15,23,0,0,0,1
States,Kansas,Season 2024-25,124,1,3,2,0,0,0,0,0
